neighborhood,category,class_name,severity,confidence,lat,lon,source_image
City Heights,Underserved,Transverse Crack,Light,0.467,32.746421,-117.107928,img_0162_S_32-746421_-117-107928_jpg.rf.6eefe3c26a95abb031098ef09708f701.jpg
City Heights,Underserved,Alligator Crack,Severe,0.391,32.746421,-117.107928,img_0162_S_32-746421_-117-107928_jpg.rf.6eefe3c26a95abb031098ef09708f701.jpg
City Heights,Underserved,Alligator Crack,Severe,0.37,32.746421,-117.107928,img_0162_S_32-746421_-117-107928_jpg.rf.6eefe3c26a95abb031098ef09708f701.jpg
City Heights,Underserved,Pothole,Severe,0.295,32.746421,-117.107928,img_0162_S_32-746421_-117-107928_jpg.rf.6eefe3c26a95abb031098ef09708f701.jpg
City Heights,Underserved,Side_Walk,N/A,0.474,32.746421,-117.107928,img_0163_W_32-746421_-117-107928_jpg.rf.cd5a14c7286b2bf665b61deb925605c1.jpg
City Heights,Underserved,Side_Walk,N/A,0.454,32.746421,-117.107928,img_0163_W_32-746421_-117-107928_jpg.rf.cd5a14c7286b2bf665b61deb925605c1.jpg
La Jolla,Wealthier,Transverse Crack,Light,0.266,32.833521,-117.272158,img_0163_W_32-833521_-117-272158_jpg.rf.f02e7e51e0da3dd6a48f2774b4572daa.jpg
City Heights,Underserved,Longitudinal Crack,Light,0.518,32.746421,-117.107071,img_0164_N_32-746421_-117-107071_jpg.rf.4660f0aca411640eceff23b9eb761f3a.jpg
City Heights,Underserved,Alligator Crack,Severe,0.333,32.746421,-117.107071,img_0164_N_32-746421_-117-107071_jpg.rf.4660f0aca411640eceff23b9eb761f3a.jpg
La Jolla,Wealthier,Longitudinal Crack,Light,0.542,32.833521,-117.2713,img_0164_N_32-833521_-117-2713_jpg.rf.a97ff32e198c90440e5d37fd438e53eb.jpg
City Heights,Underserved,Alligator Crack,Severe,0.615,32.746421,-117.107071,img_0165_E_32-746421_-117-107071_jpg.rf.a4faa52981664466cd09c0518429f20e.jpg
La Jolla,Wealthier,Pothole,Severe,0.286,32.833521,-117.2713,img_0165_E_32-833521_-117-2713_jpg.rf.1ddc107d028a5a4723ce233280ebc4db.jpg
City Heights,Underserved,Alligator Crack,Severe,0.748,32.746421,-117.107071,img_0166_S_32-746421_-117-107071_jpg.rf.50b9001dccbcc7c2c9128615cc9da974.jpg
City Heights,Underserved,Longitudinal Crack,Light,0.658,32.746421,-117.107071,img_0166_S_32-746421_-117-107071_jpg.rf.50b9001dccbcc7c2c9128615cc9da974.jpg
City Heights,Underserved,Alligator Crack,Severe,0.508,32.746421,-117.107071,img_0166_S_32-746421_-117-107071_jpg.rf.50b9001dccbcc7c2c9128615cc9da974.jpg
